,Region,Residence.Type,Family.Composition,Population.Base,Sex,Age,Marital.Status,Student,Country.of.Birth,Health,Ethnic.Group,Religion,Economic.Activity,Occupation,Industry,Hours.worked.per.week,Approximated.Social.Grade
80,7,1,0,0,0,0,0,1,0,0,0,1,0,9,9,4,2
81,2,1,1,0,0,2,1,1,0,0,0,0,4,9,7,4,3
82,9,1,4,0,0,1,1,1,0,0,0,1,8,4,9,4,1
83,0,1,1,0,0,6,1,1,0,0,0,0,0,1,9,4,0
84,3,1,2,0,1,1,0,0,1,0,0,1,4,9,3,4,1
85,5,1,1,0,1,6,1,1,0,2,0,0,0,1,10,2,2
86,5,1,1,0,0,2,3,1,1,0,0,1,9,2,3,4,4
87,6,1,2,0,0,7,0,0,0,2,0,1,0,9,7,4,0
88,7,1,2,0,0,4,1,0,0,1,0,1,9,2,9,4,0
89,4,1,1,0,0,4,0,1,0,0,0,3,9,3,12,4,1
90,6,1,1,0,1,0,0,1,0,0,0,0,4,9,5,2,0
91,1,1,1,0,1,3,4,1,0,1,0,1,4,4,9,4,4
92,8,1,0,0,0,7,0,1,0,1,0,1,0,1,12,4,1
93,1,1,4,0,0,5,1,1,0,1,0,1,5,9,1,1,4
94,7,1,2,0,1,7,0,1,0,1,0,1,0,9,7,2,2
95,6,1,4,0,1,2,1,0,0,0,0,1,0,9,5,4,3
96,6,1,1,0,0,5,1,0,0,2,0,1,9,9,3,4,2
97,4,1,1,0,0,3,1,0,0,1,0,1,0,3,7,4,1
98,2,0,1,0,1,5,0,1,0,0,5,1,1,6,3,4,2
99,4,1,0,0,0,4,1,0,0,0,0,1,8,2,10,1,1
100,3,1,5,0,1,4,0,0,0,1,0,0,0,1,4,4,0
101,8,1,1,0,1,0,1,1,1,1,0,1,4,1,3,1,1
102,1,1,1,0,0,7,1,1,0,1,0,1,9,9,1,4,0
103,3,1,1,0,1,4,0,1,1,0,0,1,9,1,1,4,1
104,1,1,1,0,0,1,0,1,0,3,0,1,5,8,9,2,4
105,6,1,1,0,1,7,1,1,0,5,0,1,1,1,5,4,3
106,9,0,0,0,1,4,0,1,0,1,0,1,4,0,9,1,4
107,7,1,1,0,1,2,1,1,0,0,0,1,9,9,9,2,3
108,0,1,1,0,0,3,1,1,0,2,0,1,0,3,9,4,4
109,7,1,1,0,1,6,1,1,0,0,0,5,0,2,12,2,4
110,2,1,2,0,1,3,1,1,0,0,0,0,0,9,9,4,3
111,4,1,0,0,1,6,1,0,1,0,0,1,9,5,1,3,4
112,3,1,1,0,0,2,0,0,0,1,2,0,4,1,11,2,1
113,6,0,1,0,1,4,0,0,0,1,0,1,0,1,10,3,4
114,3,1,1,0,1,7,0,1,0,1,0,1,0,9,1,1,4
115,5,1,4,0,0,2,1,1,0,0,1,0,9,9,4,4,3
116,2,1,4,0,0,2,3,1,0,0,0,0,0,4,10,2,2
117,4,1,1,0,1,3,0,0,0,0,0,0,0,9,9,2,2
118,5,1,2,0,1,4,3,1,1,0,0,3,0,4,9,4,0
119,1,1,1,0,0,2,1,1,0,1,0,1,4,9,7,4,2
120,1,1,2,0,1,0,0,1,0,0,0,1,0,3,3,4,1
121,1,1,6,0,0,0,1,1,1,1,0,1,1,1,9,4,2
122,6,1,1,0,0,3,1,1,0,5,0,9,7,3,9,2,0
123,7,1,0,0,0,0,0,1,0,2,0,3,5,5,3,4,1
124,2,1,0,0,0,7,1,1,0,0,0,1,9,4,12,1,3
125,8,0,6,0,1,4,0,1,0,1,1,0,9,3,11,4,1
126,5,1,1,0,1,4,0,1,0,0,2,1,0,5,3,4,1
127,0,1,1,0,0,3,0,1,0,2,0,0,1,3,5,2,3
128,3,1,6,0,0,1,0,1,0,1,0,1,0,9,11,4,4
129,6,1,0,0,1,1,1,1,0,0,0,1,4,9,7,4,1
130,5,1,1,0,0,2,0,1,0,0,0,0,5,6,8,4,4
131,6,1,0,0,1,2,0,1,0,1,0,1,1,9,9,2,4
132,1,1,1,0,1,4,0,1,0,0,0,1,4,1,2,4,3
133,3,1,1,0,1,3,0,1,0,1,0,3,9,1,4,3,4
134,8,1,4,0,0,5,0,0,0,2,0,1,9,0,2,4,3
135,7,1,1,0,0,0,0,0,0,5,0,1,4,2,10,2,3
136,8,1,1,0,0,2,0,1,1,0,3,3,0,4,2,4,4
137,7,1,1,0,1,6,0,1,0,1,3,1,0,2,3,4,3
138,4,1,1,0,1,4,4,1,0,1,0,1,0,2,9,2,3
139,4,1,0,0,0,2,0,1,0,0,0,1,3,1,12,4,2
140,6,1,2,0,1,1,3,0,0,0,0,1,2,2,1,4,4
141,6,1,4,0,0,0,1,0,0,0,0,0,9,3,9,4,3
142,8,1,4,0,0,5,1,0,0,0,0,1,0,4,1,4,2
143,7,1,1,0,0,1,3,1,0,2,0,8,0,2,8,4,0
144,2,1,1,0,0,6,1,1,1,0,0,3,3,9,6,4,4
145,7,1,1,0,1,7,0,1,0,0,0,0,5,4,10,2,4
146,2,1,1,0,0,1,0,0,1,0,0,8,0,1,8,4,4
147,7,1,1,0,0,3,0,1,0,0,0,1,0,3,0,2,3
148,8,1,1,0,1,2,3,0,0,0,0,1,0,9,11,2,1
149,1,1,1,0,1,0,1,1,0,0,0,8,0,1,1,4,1
150,6,1,1,0,1,0,0,1,0,1,0,0,0,2,9,0,2
151,7,1,1,0,1,1,0,1,0,1,0,1,5,0,10,4,2
152,4,1,1,0,0,2,1,1,0,1,0,1,0,9,9,4,4
153,9,1,6,0,1,3,3,1,0,0,0,1,0,9,5,1,0
154,8,1,1,0,1,2,1,1,0,2,0,1,0,9,1,2,2
155,7,1,1,0,0,0,1,0,0,0,0,1,4,9,1,2,4
156,2,1,1,0,0,2,1,1,0,1,0,1,0,5,12,2,3
157,2,1,0,0,0,4,4,1,0,0,0,3,0,8,3,4,2
158,8,1,3,0,0,0,3,0,0,0,0,0,1,0,12,4,2
159,2,1,1,0,1,1,0,1,0,1,0,8,0,5,10,0,4
160,5,1,1,0,0,3,1,0,0,3,2,0,9,7,4,4,1
161,8,1,2,0,0,6,1,1,0,1,0,0,8,9,7,3,4
162,4,1,1,0,0,2,1,1,0,0,0,2,4,9,1,4,2
163,5,1,4,0,1,4,1,1,0,0,0,3,7,7,4,4,0
164,5,1,1,0,0,5,3,1,0,0,2,8,5,9,12,4,4
165,3,1,1,0,0,3,1,1,0,0,0,1,4,5,7,3,4
166,5,1,0,0,1,1,1,1,0,1,0,1,4,5,9,2,3
167,2,1,4,0,0,6,0,1,0,2,0,1,4,1,6,2,4
168,6,1,2,0,0,7,0,1,0,1,0,1,6,2,8,4,4
169,6,1,2,0,1,2,0,1,1,1,0,8,9,6,9,4,4
170,5,1,2,0,0,4,0,1,0,1,0,0,0,9,10,4,1
171,4,1,6,0,0,4,3,1,0,1,0,0,9,1,10,4,0
172,7,1,1,0,0,0,1,1,0,1,0,1,7,4,10,4,1
173,3,1,1,0,1,0,0,0,0,1,0,1,4,3,9,4,4
174,1,1,1,0,0,1,1,1,0,0,2,1,4,9,12,1,3
175,2,1,1,0,1,4,0,0,0,0,0,0,0,9,9,4,1
176,5,1,4,0,0,1,1,1,0,0,0,9,4,8,1,2,1
177,5,1,3,0,1,1,1,1,0,1,2,1,0,9,3,4,0
178,7,1,4,0,1,0,1,1,1,1,0,0,0,1,2,1,2
179,1,1,1,0,0,1,0,1,0,3,0,1,0,9,7,2,4
180,9,1,1,0,1,0,1,1,0,1,0,8,0,0,10,4,4
181,0,1,1,0,0,4,0,1,0,2,0,5,0,6,5,4,1
182,3,1,1,0,0,6,0,0,1,2,0,1,8,6,8,2,4
183,7,1,4,1,1,2,0,1,1,2,0,4,6,9,8,4,1
184,1,1,1,0,1,1,0,1,0,1,0,0,0,4,1,4,1
185,9,1,0,0,0,1,1,1,0,0,0,1,0,8,2,3,4
186,1,1,1,0,0,5,0,1,0,0,0,1,0,1,5,4,2
187,6,0,1,0,1,0,0,1,0,1,0,1,4,4,4,4,2
188,4,1,1,0,1,6,1,1,0,2,2,1,9,9,9,3,4
189,5,1,4,0,0,4,1,0,0,1,4,5,0,9,9,4,1
190,4,1,1,0,1,2,0,0,0,3,0,7,4,9,3,1,0
191,4,1,0,0,0,7,1,1,0,1,0,1,3,0,9,1,2
192,2,1,6,0,0,2,1,1,0,1,0,1,2,9,3,4,2
193,6,1,1,0,0,0,0,1,0,0,0,1,3,9,11,2,1
194,5,1,4,0,1,2,1,1,2,2,0,1,9,9,3,2,4
195,4,1,6,0,1,0,0,1,0,0,0,1,0,8,7,1,4
196,8,1,1,0,0,0,1,0,0,0,0,5,9,4,9,4,0
197,8,1,4,0,1,3,0,1,0,3,2,1,4,9,3,4,3
198,9,1,1,0,0,2,0,1,0,1,0,1,0,8,1,4,4
199,5,1,1,0,0,1,1,1,0,1,0,1,0,0,2,4,1
200,2,1,1,0,1,0,1,1,0,1,0,0,0,2,9,4,1
201,2,1,1,0,0,0,1,1,0,3,0,8,2,5,11,4,4
202,7,1,1,0,1,2,1,1,0,3,0,8,0,1,9,2,2
203,4,1,1,0,0,0,3,1,0,0,0,1,9,6,12,1,1
204,6,1,5,0,0,4,1,1,0,0,0,1,9,9,2,4,4
205,3,1,4,0,1,0,1,0,0,4,0,0,9,8,1,1,4
206,6,1,0,0,1,5,1,0,0,0,0,0,9,3,9,4,2
207,7,1,4,0,0,1,1,1,0,1,0,1,5,1,4,2,4
208,4,1,1,0,0,2,1,0,0,2,0,0,5,1,8,1,1
209,5,1,4,0,0,4,3,1,0,1,0,0,1,9,5,4,0
210,6,1,1,0,0,2,0,0,0,1,0,6,4,4,10,4,2
211,2,1,4,0,0,1,1,1,0,1,0,1,6,9,5,2,4
212,4,1,1,0,0,5,0,1,0,0,0,0,4,9,11,4,4
213,7,1,2,0,0,5,3,1,0,0,0,0,9,1,11,4,0
214,4,1,2,0,1,0,1,1,0,0,0,0,4,2,9,4,1
215,8,1,1,0,1,7,0,1,0,1,0,1,0,1,9,2,3
216,7,1,1,0,0,2,3,0,0,1,0,1,9,5,9,2,1
217,8,1,4,0,1,0,0,1,1,0,0,1,9,4,2,4,2
218,2,1,1,0,0,4,1,1,0,0,0,1,0,9,10,4,1
219,8,1,0,0,1,1,0,0,0,3,0,1,0,2,3,2,1
220,1,1,1,1,0,1,1,1,0,0,0,1,9,9,12,2,1
221,6,1,6,0,1,3,0,1,0,2,0,1,0,5,7,2,4
222,5,1,0,0,0,6,1,1,0,0,3,1,0,9,9,2,3
223,1,1,1,0,1,1,1,1,0,0,1,1,9,8,9,4,3
224,6,1,1,0,1,3,3,1,0,2,2,6,5,9,9,4,4
225,0,1,4,0,0,4,3,1,0,0,0,0,0,2,9,4,1
226,2,1,1,0,0,0,0,1,0,2,0,0,2,8,7,4,4
227,3,1,4,0,1,4,0,1,0,1,0,1,9,2,2,4,3
228,1,1,0,0,1,0,0,1,0,0,0,0,0,1,9,2,2
229,1,1,1,0,0,6,0,1,1,0,0,1,0,6,5,4,3
230,5,1,1,0,0,2,1,1,0,1,0,1,0,5,5,4,4
231,7,1,1,0,0,3,0,1,0,1,0,3,0,1,3,4,1
232,5,1,2,0,1,2,4,1,2,0,0,1,2,4,9,4,4
233,8,1,0,0,1,3,1,1,2,0,2,1,9,7,1,4,3
234,6,1,1,0,0,3,1,1,0,0,0,1,9,6,3,4,1
235,6,1,2,0,1,2,3,1,0,1,1,8,5,1,12,4,2
236,6,1,4,0,1,0,0,1,0,0,0,0,9,6,7,4,4
237,7,1,6,0,0,3,3,1,0,0,0,0,0,7,9,2,0
238,5,1,1,0,1,4,0,1,0,0,0,1,8,1,4,4,0
239,7,1,1,0,0,0,0,0,0,3,3,1,4,9,9,4,0
240,3,1,1,0,1,7,4,1,0,2,5,1,0,6,4,2,1
241,1,1,1,0,1,4,0,1,0,1,0,0,0,6,3,4,4
242,7,1,1,0,0,3,0,1,0,1,0,1,0,7,10,1,0
243,1,1,2,0,1,0,0,1,0,1,0,0,0,9,9,4,4
244,5,0,1,0,0,3,1,1,0,1,0,1,0,2,7,4,3
245,6,1,0,0,0,7,0,1,0,1,0,1,1,6,9,4,1
246,7,1,1,0,0,1,1,1,0,1,0,1,4,9,6,4,1
247,5,1,1,0,1,1,1,1,0,0,0,0,0,8,5,2,1
248,4,1,1,0,0,0,1,1,0,0,0,1,0,1,2,4,4
249,3,1,0,0,0,1,3,1,0,3,0,0,1,3,11,4,3
250,6,1,0,0,1,5,0,1,1,1,0,1,9,9,7,4,3
251,2,1,1,0,1,0,4,1,0,0,2,1,9,6,6,4,0
252,8,1,1,0,1,4,1,1,0,2,0,5,9,9,9,4,0
253,5,1,0,0,1,0,3,1,0,1,0,1,5,5,2,2,1
254,6,1,1,0,1,5,0,1,0,0,0,5,4,6,9,4,2
255,0,1,4,0,0,4,3,1,0,0,0,1,0,4,9,4,4
256,7,1,1,0,1,2,0,1,1,1,0,1,6,4,9,4,4
257,5,1,1,0,1,2,0,1,0,0,0,1,0,9,9,4,3
258,6,1,0,0,1,4,0,0,0,0,0,0,0,9,1,0,4
259,0,1,1,0,0,2,1,1,0,2,0,1,2,5,3,4,0
260,8,1,2,0,0,4,0,0,1,0,0,1,9,6,7,1,2
261,6,1,1,0,0,7,0,0,1,0,0,1,9,6,9,2,4
262,0,1,1,0,1,3,0,1,0,1,0,1,5,1,7,4,4
263,3,1,1,0,1,3,0,1,1,1,2,1,0,1,11,0,1
264,7,1,1,0,1,3,1,1,0,0,0,0,4,0,6,1,1
265,6,1,2,0,0,1,0,1,0,1,5,1,4,9,7,2,3
266,7,1,1,0,1,1,2,1,1,1,0,0,0,8,2,4,1
267,7,1,0,0,0,0,1,0,0,0,0,1,6,4,10,4,0
268,7,1,1,0,0,5,1,1,0,0,3,1,6,7,9,4,1
269,4,0,1,0,0,1,3,1,0,0,0,0,7,8,5,4,3
270,4,0,1,0,1,2,2,1,0,1,2,1,5,9,11,4,3
271,6,1,2,0,1,5,1,1,0,0,0,1,1,9,5,4,4
272,7,1,0,0,0,4,1,0,0,1,0,0,9,2,1,4,3
273,5,1,2,0,1,0,4,0,0,1,5,0,4,9,12,1,1
274,7,1,4,0,0,5,3,1,0,2,0,3,9,4,5,2,4
275,6,1,4,0,1,1,0,1,0,0,0,1,0,7,0,1,1
276,2,1,1,0,1,5,1,1,1,0,0,1,0,0,9,4,1
277,4,0,1,0,1,7,0,1,0,0,2,1,4,6,9,2,0
278,4,1,1,2,1,2,0,1,0,1,0,1,0,9,12,4,4
279,6,1,1,0,1,3,0,1,0,1,0,1,0,9,0,4,3
280,9,1,3,0,1,4,1,0,0,0,0,8,9,1,3,2,3
281,4,1,1,0,1,3,0,1,0,0,0,1,4,8,3,4,0
282,8,1,2,0,1,3,1,1,0,0,0,1,9,2,10,2,3
283,8,1,1,0,1,2,0,1,0,2,0,1,4,9,1,4,4
284,1,1,1,0,0,0,4,1,0,0,0,2,0,3,9,4,0
285,7,1,4,0,1,4,4,0,1,1,0,0,9,1,12,1,2
286,2,1,0,0,0,3,0,1,0,2,0,0,0,4,11,2,0
287,5,1,6,0,1,2,3,1,0,1,0,0,4,5,3,4,2
288,1,1,1,0,1,3,1,1,1,0,0,0,0,8,9,1,1
289,4,1,1,0,1,4,0,1,0,2,0,1,9,7,9,4,0
290,7,1,0,0,0,4,1,1,0,0,0,1,4,3,9,4,3
291,1,1,2,0,1,5,3,0,0,0,0,8,9,6,7,4,1
292,7,1,2,0,0,4,1,0,0,2,0,1,0,9,1,4,1
293,0,1,2,0,0,1,0,1,0,0,0,1,8,3,10,3,1
294,4,1,2,0,0,2,1,1,1,1,2,1,1,0,4,4,1
295,5,1,0,0,1,4,0,1,0,1,2,1,0,8,2,4,2
296,2,1,0,0,1,3,0,1,0,0,0,1,2,9,12,4,3
297,7,1,1,0,1,4,0,1,0,0,0,1,0,1,3,1,3
298,3,1,1,0,0,7,0,1,0,0,0,8,9,6,9,4,0
299,2,1,0,0,0,1,1,1,0,0,0,1,0,4,3,4,4
300,2,1,4,0,1,3,1,1,0,1,0,0,0,9,9,2,1
301,3,1,1,0,1,5,0,1,1,2,0,1,9,9,12,3,4
302,6,1,6,0,1,2,2,1,0,1,0,8,0,8,11,4,1
303,1,1,1,0,0,5,0,0,1,0,0,1,0,5,3,2,0
304,6,1,1,0,0,3,0,1,0,1,0,1,0,5,9,4,2
305,7,1,1,0,0,3,1,1,0,0,0,1,1,7,12,4,1
306,6,1,0,0,1,0,1,0,0,0,0,1,0,5,1,2,1
307,7,1,1,0,1,2,0,1,0,3,0,0,9,9,11,1,3
308,6,1,4,0,1,4,0,1,0,2,0,0,0,3,12,2,3
309,8,1,2,0,0,4,1,1,0,0,0,1,0,0,7,2,3
310,2,1,1,0,0,1,0,1,0,1,0,0,9,3,2,4,2
311,5,1,0,0,0,1,1,1,0,0,0,5,4,5,1,4,4
312,2,1,0,2,1,1,1,1,0,0,0,0,4,9,9,2,0
313,3,1,3,0,1,5,3,0,0,1,0,1,0,9,2,2,1
314,5,1,1,0,1,1,0,1,1,0,0,0,7,9,11,4,0
315,6,1,1,0,0,6,0,0,0,0,0,1,0,4,5,4,1
316,4,1,6,0,0,5,0,1,0,1,0,8,3,3,1,4,3
317,0,1,1,0,0,2,1,0,0,0,3,0,4,6,2,4,2
318,6,1,1,0,0,1,0,1,0,0,0,1,0,2,12,4,3
319,7,1,1,0,1,6,1,1,1,1,0,1,0,4,6,2,1
320,3,1,4,0,0,0,0,1,0,0,0,0,0,9,8,4,3
321,7,1,1,0,1,1,1,1,0,1,3,5,9,6,11,4,4
322,1,1,1,0,1,0,3,0,0,1,0,1,9,9,9,2,1
323,6,1,1,0,0,3,1,1,0,2,0,1,9,0,8,1,1
324,7,1,1,0,0,7,3,1,0,1,0,0,0,3,9,4,4
325,2,1,0,0,0,3,0,1,0,0,0,5,7,9,9,4,3
326,6,1,1,0,1,0,0,1,1,2,0,1,6,3,7,1,3
327,1,1,1,0,1,3,0,1,0,2,0,1,0,9,11,1,0
328,7,1,1,0,0,3,1,1,1,1,0,1,0,9,9,1,0
329,5,1,1,0,0,1,1,0,0,0,0,1,6,8,9,4,1
330,6,1,1,0,0,6,1,1,0,3,1,1,4,4,5,4,3
331,3,1,4,0,0,1,0,1,0,0,2,8,5,1,10,4,2
332,9,1,0,0,0,0,3,1,1,1,0,0,8,9,1,2,4
333,4,1,5,0,0,2,1,1,0,1,0,1,0,1,10,4,0
334,5,1,2,0,1,4,0,1,0,0,0,1,2,6,8,4,4
335,8,1,1,0,1,2,1,1,0,0,0,0,0,8,9,3,3
336,1,1,4,0,0,4,1,1,0,2,0,1,0,8,9,2,1
337,1,1,4,0,0,7,0,1,0,0,0,1,9,9,9,4,2
338,7,1,5,0,1,3,1,1,0,1,0,1,0,8,9,4,3
339,1,1,1,0,1,1,0,1,0,2,0,1,1,4,9,1,4
340,8,1,4,0,0,3,0,1,0,1,0,0,1,9,6,3,1
341,2,1,1,0,0,1,3,0,0,1,0,1,1,3,5,2,4
342,0,1,1,0,1,1,1,1,1,0,0,0,9,9,10,4,3
343,7,1,0,0,0,7,3,1,0,0,0,1,6,1,9,2,4
344,6,1,0,0,0,3,1,1,1,4,0,0,2,3,10,4,1
345,7,1,4,0,1,6,0,1,0,1,1,1,9,8,4,2,1
346,6,1,1,0,0,6,0,1,0,0,0,0,4,4,7,2,2
347,6,1,2,0,1,7,1,1,1,0,0,0,0,9,1,1,3
348,8,1,4,0,0,0,1,1,0,0,0,1,3,4,2,3,1
349,7,1,0,0,0,6,1,1,1,2,0,0,3,3,9,2,1
350,4,1,1,0,1,7,1,1,0,0,0,0,9,9,8,4,3
351,4,1,1,0,1,0,1,1,1,0,0,0,9,3,9,2,4
352,5,1,2,0,1,0,1,0,0,1,0,1,5,9,9,2,0
353,1,1,0,0,0,5,0,1,0,2,0,0,9,2,9,4,2
354,1,0,2,0,1,4,1,1,0,0,0,1,0,1,1,1,3
355,4,1,0,0,1,6,1,0,1,2,0,1,9,4,7,2,1
356,7,1,4,0,1,5,1,1,0,0,0,5,0,4,6,1,3
357,1,1,1,0,0,0,0,1,0,0,2,1,6,9,8,0,0
358,6,1,1,0,1,2,0,1,0,0,0,1,6,9,5,4,4
359,7,1,1,0,1,2,0,1,0,0,0,8,2,3,10,4,0
360,2,1,0,0,1,2,1,1,1,0,0,0,6,9,5,4,1
361,7,1,1,0,0,7,0,1,0,2,3,5,0,2,10,4,2
362,4,1,0,0,0,2,0,1,0,1,0,1,4,6,11,2,1
363,5,1,2,0,0,4,0,0,0,2,0,0,9,0,12,4,0
364,5,1,1,0,0,4,0,1,0,0,0,1,3,9,1,2,0
365,9,1,1,0,1,1,1,1,1,1,0,8,8,9,1,4,3
366,6,1,1,0,0,3,0,1,0,0,0,3,0,9,12,4,3
367,8,1,0,0,1,3,0,0,0,1,0,0,5,3,7,2,0
368,6,1,4,0,1,1,1,1,0,0,2,5,4,6,1,4,2
369,7,1,0,0,1,4,1,1,0,0,0,1,5,2,3,4,1
370,2,1,3,0,1,5,3,0,0,1,0,1,4,8,7,2,4
371,8,1,0,0,0,4,2,1,1,0,0,1,0,3,9,2,2
372,1,1,4,0,1,2,0,1,0,0,0,1,6,9,7,2,4
373,7,1,2,0,1,6,0,1,0,1,0,1,9,9,9,4,4
374,6,1,1,0,0,7,1,1,0,0,3,1,6,5,1,4,2
375,8,1,0,0,0,4,0,1,0,0,2,0,8,4,3,4,3
376,7,1,1,0,0,4,1,0,0,3,0,0,0,2,6,4,3
377,1,1,2,0,1,3,0,1,0,0,2,5,0,1,12,3,4
378,8,1,6,0,0,3,0,1,0,0,0,1,3,5,9,4,3
379,3,1,1,0,0,5,0,1,0,0,0,0,4,4,5,2,3
380,2,1,1,0,1,6,0,1,0,2,0,8,9,1,11,4,1
381,4,1,1,0,1,5,3,1,1,0,0,0,5,8,9,4,1
382,7,1,0,0,0,0,0,1,0,3,0,1,0,9,5,1,0
