,TransAmtDisc,DayOfWeek,Hour,Product,CardType,CardCategory,EmailDomain,Region,DaysSinceLastTrans,isFraud
59,3,4,22,4,2,1,9,0,0,0
60,4,3,3,4,3,1,9,0,0,0
61,3,5,21,4,2,1,0,0,2,0
62,0,0,1,4,3,0,3,0,0,1
63,1,0,8,4,2,1,1,4,3,0
64,3,2,9,4,3,0,3,0,3,0
65,4,0,23,0,3,1,1,4,3,0
66,2,4,4,4,3,1,0,0,3,0
67,2,5,4,4,3,1,9,0,3,0
68,2,5,4,4,3,1,3,0,3,0
69,4,0,1,4,3,1,3,0,3,0
70,1,2,2,4,3,1,3,0,0,0
71,4,1,4,4,3,0,3,5,2,0
72,3,4,10,4,3,1,3,4,2,0
73,1,6,9,4,2,1,7,5,0,0
74,4,3,16,4,3,1,0,5,2,0
75,3,2,21,0,3,1,3,0,3,0
76,4,0,6,4,3,1,4,3,3,0
77,2,3,15,4,2,1,3,0,3,0
78,1,3,14,4,3,1,9,0,3,0
79,3,4,22,4,2,0,1,0,3,0
80,0,0,2,4,3,0,3,0,2,0
81,0,4,5,4,3,1,4,0,3,0
82,1,3,2,4,2,1,3,2,3,0
83,2,6,13,4,2,0,3,0,3,0
84,0,6,8,4,2,1,9,0,2,0
85,2,6,23,1,3,1,3,0,3,0
86,0,2,1,4,3,0,3,1,3,0
87,4,3,4,4,3,1,0,0,3,0
88,2,4,23,0,3,1,5,5,0,0
89,3,0,8,4,2,1,9,3,0,0
90,0,6,22,4,2,1,0,4,0,0
91,2,5,4,0,2,1,3,5,0,0
92,4,5,15,4,3,0,9,5,3,0
93,3,3,4,4,3,1,9,5,3,0
94,1,3,10,0,3,1,3,0,3,0
95,0,4,4,4,2,1,3,0,0,0
96,3,6,22,4,3,1,0,0,0,0
97,4,2,5,1,2,0,4,2,3,0
98,2,0,1,4,3,0,9,2,0,0
99,4,2,6,4,3,1,9,0,0,0
100,3,1,22,4,3,1,3,0,3,0
101,2,0,5,4,3,0,3,5,3,1
102,3,1,1,4,3,0,3,0,0,0
103,0,5,8,4,3,1,4,0,0,0
104,0,2,8,4,3,0,9,0,3,0
105,1,2,7,4,3,1,9,0,3,0
106,2,0,3,4,2,0,3,0,0,0
107,1,4,9,2,2,1,3,4,0,0
108,1,5,1,4,2,1,3,0,0,0
109,4,1,18,0,3,1,3,3,3,0
110,0,1,1,4,3,0,3,0,3,0
111,1,3,3,4,3,1,1,0,3,0
112,1,5,22,4,3,1,9,0,3,0
113,4,1,5,4,3,1,9,0,3,0
114,0,3,1,4,3,1,3,0,3,0
115,0,3,9,4,2,1,3,0,3,1
116,0,3,9,4,2,1,7,0,3,0
117,0,6,6,4,3,1,9,0,3,0
118,2,2,23,4,3,1,0,0,3,0
119,4,2,7,4,3,1,4,1,3,0
120,2,4,20,4,2,0,7,0,3,0
121,0,1,14,4,3,1,3,0,3,0
122,2,3,23,4,2,1,3,0,2,0
123,3,2,22,4,3,1,9,0,0,0
124,3,2,2,2,3,1,9,4,2,0
125,1,5,22,4,2,1,8,0,0,0
126,4,1,13,4,3,1,9,0,0,0
127,3,1,2,4,2,1,3,2,0,0
128,0,3,21,4,2,1,3,0,3,1
129,1,2,10,4,3,1,3,5,0,0
130,0,4,7,0,2,1,9,0,0,0
131,3,2,3,4,3,0,4,0,0,0
132,2,1,7,4,2,1,4,3,3,0
133,4,3,2,0,3,1,4,4,3,1
134,0,5,12,4,3,1,1,0,2,0
135,0,4,5,4,2,1,1,0,3,0
136,1,4,2,4,3,0,0,1,3,0
137,0,6,2,4,3,1,3,1,0,0
138,1,2,6,1,3,1,3,0,3,0
139,4,0,23,4,2,1,3,3,3,0
140,4,0,19,4,3,1,9,0,0,0
141,1,2,4,4,3,1,3,0,0,0
142,3,2,7,4,2,1,1,0,2,0
143,0,3,4,4,2,1,1,3,0,0
144,4,3,5,0,2,1,1,5,0,0
145,1,6,3,4,3,1,8,1,0,0
146,0,5,20,4,2,0,4,0,0,0
147,0,0,4,4,3,1,9,0,3,0
148,4,6,2,4,3,1,3,0,0,0
149,0,1,3,4,1,1,7,0,0,0
150,4,0,5,4,3,1,3,0,3,0
151,3,0,23,4,2,1,9,0,3,0
152,0,0,22,4,3,1,4,2,0,0
153,2,3,15,4,3,1,3,0,3,0
154,3,4,6,4,3,1,9,0,3,0
155,3,2,9,4,3,0,3,5,0,0
156,2,3,22,4,3,0,9,5,3,1
157,0,4,7,4,0,1,1,0,0,0
158,1,0,5,4,3,1,3,0,3,0
159,0,1,19,4,3,1,3,5,3,0
160,1,5,23,4,3,1,7,0,0,0
161,4,0,7,4,2,1,3,0,3,0
162,4,6,0,4,3,1,4,3,0,0
163,1,2,1,4,2,1,3,5,0,0
164,1,3,22,4,3,1,4,0,3,0
165,2,1,3,4,3,1,7,0,3,0
166,1,1,6,4,3,1,7,3,0,0
167,1,4,2,4,3,1,4,1,2,1
168,0,2,21,4,3,1,4,0,3,0
169,0,4,23,4,3,0,3,0,1,1
170,1,5,8,4,3,1,3,5,3,0
171,3,2,3,4,3,1,3,0,3,0
172,4,4,22,4,3,1,0,0,0,0
173,1,0,4,4,3,1,3,0,0,0
174,2,3,21,4,2,1,4,0,0,0
175,1,2,4,0,2,1,3,0,3,0
176,3,2,8,4,3,1,9,1,0,0
177,4,0,2,4,3,0,3,0,0,0
178,2,0,2,4,2,1,3,0,3,0
179,1,2,21,4,3,1,1,0,3,0
180,4,0,1,4,3,1,0,0,3,0
181,3,1,19,4,2,1,3,0,3,0
182,3,5,1,4,3,1,3,2,0,0
183,1,3,3,4,3,1,3,0,0,0
184,4,2,4,4,3,1,1,0,0,0
185,4,1,5,4,3,0,3,0,0,0
186,3,3,23,4,2,1,3,0,0,0
187,1,2,1,4,3,1,7,0,3,0
188,3,1,6,4,3,1,3,5,0,0
189,0,3,23,4,2,1,4,0,3,0
190,2,0,21,4,3,0,1,0,3,0
191,4,2,1,4,3,1,9,2,0,0
192,3,2,21,4,2,1,9,0,3,0
193,0,5,8,4,3,1,3,0,2,0
194,4,6,10,4,3,1,3,1,3,0
195,2,3,23,4,3,0,5,0,3,0
196,2,6,5,4,3,1,7,0,1,0
197,0,2,7,4,3,1,5,0,2,0
198,0,6,8,4,2,0,9,0,3,0
199,0,4,5,4,3,1,3,0,0,0
200,1,1,9,4,3,1,9,0,0,0
201,3,0,4,4,2,0,3,0,3,0
202,0,2,22,0,3,1,3,5,0,0
203,1,3,6,4,2,1,9,0,3,0
204,0,5,5,2,2,0,1,1,3,0
205,2,3,3,4,3,1,3,0,3,0
206,3,1,15,4,3,1,0,1,3,0
207,4,3,5,4,2,1,3,0,3,0
208,1,0,5,4,2,1,9,0,3,0
209,4,5,3,4,2,0,9,5,0,0
210,1,4,23,4,3,1,4,0,0,0
211,1,5,8,4,3,1,7,3,3,1
212,4,1,2,4,2,1,9,1,3,0
213,0,3,5,4,3,0,3,5,3,0
214,1,1,9,4,2,1,7,1,0,0
215,0,3,4,4,3,1,2,5,3,0
216,0,3,7,4,3,1,3,5,3,0
217,3,5,5,4,2,1,9,0,0,0
218,0,0,8,4,3,0,3,0,0,0
219,1,2,3,0,2,1,3,0,0,0
220,4,0,8,4,3,0,7,4,0,0
221,3,2,9,4,3,1,3,4,0,0
222,4,4,7,4,3,0,4,1,0,0
223,1,6,10,4,2,1,0,0,3,0
224,4,6,10,4,2,1,1,0,0,0
225,2,4,7,4,2,1,9,0,0,0
226,0,2,7,4,2,1,3,4,3,0
227,3,3,20,4,3,0,8,0,3,0
228,3,6,7,4,3,1,3,0,3,0
229,3,6,22,4,3,1,9,0,3,0
230,0,0,10,4,2,0,3,4,3,0
231,1,4,2,4,3,0,3,4,0,0
232,3,0,5,1,2,0,9,3,0,0
233,2,3,8,4,2,0,7,0,0,0
234,0,1,23,1,3,1,3,0,3,0
235,2,0,9,4,3,1,3,0,3,0
236,1,1,14,4,2,1,0,2,3,0
237,1,0,8,4,3,1,3,1,2,0
238,3,5,20,1,2,1,9,0,3,0
239,4,5,21,4,3,1,4,0,0,0
240,2,3,10,4,3,1,0,2,3,0
241,0,5,2,4,3,1,2,5,2,0
242,0,0,19,4,3,1,3,1,0,0
243,0,1,23,4,2,1,1,0,3,0
244,1,6,21,4,2,1,3,0,0,0
245,0,3,2,4,2,0,9,3,0,0
246,3,5,22,1,2,1,3,0,0,0
247,3,1,2,4,3,1,3,3,3,0
248,4,0,2,4,2,1,4,3,0,0
249,2,6,23,2,2,1,3,0,0,0
250,0,5,7,4,3,1,3,3,0,0
251,1,6,9,4,3,1,1,2,0,0
252,3,1,21,4,3,1,9,0,3,0
253,4,0,1,1,3,1,3,0,2,1
254,4,6,4,4,3,1,7,0,3,0
255,0,3,7,4,3,0,4,0,0,0
256,3,6,5,4,3,1,9,0,0,0
257,1,1,6,4,2,0,4,0,0,0
258,0,1,3,4,3,0,3,1,3,0
259,0,2,4,4,3,0,3,1,3,0
260,1,5,20,4,2,1,9,0,0,0
261,1,3,17,4,2,0,3,4,3,0
262,3,4,21,4,3,1,3,0,3,0
263,1,6,3,4,3,1,3,0,3,0
264,1,1,20,4,2,1,4,0,2,0
265,3,0,1,3,3,0,7,0,3,0
266,3,4,7,4,3,1,2,0,0,0
267,3,3,20,4,3,0,3,1,3,0
268,0,3,10,4,3,1,9,0,3,0
269,2,4,4,4,3,1,9,3,1,0
270,4,4,3,4,3,1,3,0,0,0
271,1,0,21,4,3,1,3,5,3,0
272,0,2,23,0,2,1,3,4,3,0
273,2,3,4,4,2,1,3,4,0,0
274,0,4,7,4,2,1,6,0,2,0
275,0,1,12,4,3,1,4,3,0,0
276,1,0,22,4,3,0,0,0,3,0
277,1,1,23,4,2,1,3,0,0,0
278,3,0,8,4,3,1,9,1,2,0
279,0,5,18,4,2,1,4,0,2,0
280,2,1,5,4,2,1,2,0,0,0
281,1,1,8,4,2,1,4,0,3,0
282,1,3,3,4,1,1,4,0,0,0
283,4,0,22,4,2,1,3,0,3,0
284,3,4,5,4,3,0,9,5,3,0
285,1,1,9,4,3,0,7,0,2,0
286,2,6,13,1,3,0,3,0,3,1
287,2,0,1,4,3,1,3,0,0,0
288,3,0,5,4,2,1,3,2,3,0
289,0,2,21,4,3,1,3,3,0,0
290,3,2,7,4,3,1,6,1,0,0
291,3,0,13,4,2,0,4,4,0,0
292,0,1,3,0,3,0,9,0,0,0
293,1,2,4,4,3,1,9,3,0,0
294,3,0,21,4,2,1,4,0,0,0
295,3,0,9,4,2,0,9,0,0,0
296,3,3,13,4,2,1,8,5,2,0
297,3,6,2,4,3,0,9,0,0,0
298,1,6,12,4,2,1,7,2,0,0
299,0,4,8,2,2,0,3,0,2,0
300,4,6,2,4,2,1,9,0,0,0
301,1,5,12,1,3,1,9,1,0,0
302,4,5,1,4,2,1,9,4,3,0
303,4,5,8,4,2,0,3,0,0,0
304,3,2,21,4,2,1,3,0,3,0
305,1,3,9,4,3,1,4,0,3,0
306,2,6,15,1,3,0,7,0,3,0
307,2,2,3,4,3,1,3,3,2,0
308,0,4,22,4,3,1,9,2,3,0
309,1,1,10,3,2,1,0,1,3,0
310,1,5,1,4,3,1,3,3,3,0
311,4,0,9,4,2,1,3,4,0,0
312,1,4,2,4,2,1,1,5,3,1
313,2,3,2,4,2,1,3,0,3,0
314,1,1,5,4,3,1,9,0,0,0
315,2,6,21,4,2,1,9,0,3,0
316,2,4,22,4,2,1,7,0,0,0
317,0,3,20,0,3,1,7,0,3,0
318,4,1,2,4,2,1,3,0,3,0
319,1,0,6,4,3,1,3,0,0,0
320,4,4,5,4,3,1,3,0,1,0
321,1,1,8,0,3,1,3,5,0,0
322,0,4,4,4,3,1,1,5,3,0
323,4,5,5,4,3,1,0,0,3,0
324,0,2,3,4,2,1,3,3,0,0
325,2,6,19,0,2,1,3,5,3,0
326,3,4,2,4,3,1,4,0,3,0
327,3,0,3,4,3,1,4,3,3,0
328,4,1,2,4,3,1,3,1,3,0
329,2,0,0,4,2,1,3,1,0,0
330,3,2,13,4,3,1,3,0,3,0
331,4,0,9,0,2,0,9,1,0,0
332,1,3,2,4,3,1,3,0,2,0
333,4,6,21,4,3,1,3,0,3,0
334,2,4,14,4,3,0,9,0,3,0
335,1,2,5,4,2,0,3,0,0,1
336,0,0,21,4,2,1,4,0,3,0
337,0,1,5,4,3,0,3,0,0,0
338,1,1,8,3,2,1,1,0,2,0
339,0,0,8,4,3,1,3,2,0,0
340,1,6,3,4,3,0,3,0,0,0
341,0,4,1,4,2,1,7,0,0,0
342,3,6,8,0,3,1,3,0,1,0
343,3,0,19,4,3,1,0,0,0,0
344,3,1,5,4,2,0,3,5,0,0
345,3,0,10,4,3,1,8,3,0,0
346,4,1,18,4,3,1,3,4,0,0
347,1,4,3,4,3,1,3,0,0,0
348,4,0,0,4,2,1,9,0,0,0
349,1,2,6,4,3,0,9,0,3,0
350,1,6,7,4,3,1,7,0,3,0
351,4,1,10,4,3,0,1,0,0,0
352,1,2,19,4,2,1,3,0,3,0
353,4,6,10,4,3,1,3,4,3,0
354,0,0,8,4,2,1,0,0,3,0
355,2,2,5,4,2,0,5,0,3,0
356,0,1,3,4,3,0,3,0,0,0
357,2,1,6,2,3,1,3,2,0,0
358,4,6,14,1,3,1,9,0,0,0
359,4,1,1,4,3,1,0,2,0,0
360,3,3,5,4,3,1,9,0,3,0
361,3,5,5,4,2,0,3,0,2,0
362,0,5,23,4,2,1,7,0,0,0
363,2,1,20,4,3,1,3,0,0,0
364,0,0,2,4,3,1,3,5,3,0
365,2,5,2,4,3,1,9,4,3,0
366,4,1,21,4,3,0,3,0,2,0
367,4,2,5,4,3,1,3,0,2,0
368,3,5,9,4,2,1,3,0,3,0
369,0,4,5,4,3,1,3,0,3,0
370,1,2,7,4,2,1,0,0,0,0
371,3,5,22,4,2,1,0,2,2,0
372,3,6,10,4,3,0,3,4,3,0
373,2,6,5,4,3,1,9,0,0,0
374,4,6,2,4,3,1,1,0,3,0
375,0,4,10,4,3,1,3,4,0,0
376,4,4,9,0,2,1,4,2,3,0
377,0,0,21,4,3,1,3,0,0,0
378,0,3,7,4,3,1,9,0,3,0
379,4,3,3,4,3,1,9,3,3,0
380,4,6,21,4,2,1,4,5,3,0
381,3,3,9,0,3,1,4,0,3,0
382,2,2,15,4,3,1,6,0,3,0
383,3,2,6,4,3,0,3,3,3,0
384,1,2,11,4,3,1,3,0,3,0
385,0,6,22,4,3,1,1,1,2,0
386,3,6,8,4,3,1,3,0,2,0
387,4,6,4,4,2,0,7,0,1,0
388,2,0,9,1,2,0,3,0,3,0
389,4,6,4,4,3,1,3,0,0,0
390,4,2,3,1,2,1,1,0,0,0
391,2,0,9,0,2,1,9,3,3,0
392,0,0,21,4,3,1,9,0,3,0
393,0,5,21,4,3,1,4,2,3,0
394,1,5,21,4,3,1,3,3,0,0
395,2,5,1,4,3,1,3,5,3,0
396,2,5,10,4,3,1,1,0,3,0
397,0,3,4,0,3,1,0,0,0,0
398,4,2,14,4,3,0,3,1,3,0
399,0,1,10,4,3,0,3,2,0,0
400,3,6,14,4,3,1,3,4,3,0
401,2,5,22,4,3,1,9,5,3,0
402,1,1,22,4,2,1,1,0,0,0
403,2,0,5,4,3,0,0,2,0,0
404,4,2,7,0,2,0,0,0,0,0
405,2,5,23,4,3,0,9,5,3,0
406,3,6,7,4,3,0,9,0,3,0
407,2,1,1,4,3,1,0,0,3,0
408,0,5,22,2,3,1,9,0,0,0
409,4,5,21,4,3,1,0,1,3,0
410,1,3,17,4,2,1,1,0,3,0
411,0,6,9,4,3,0,9,1,0,0
412,1,0,19,4,3,1,3,0,3,0
413,0,3,1,0,2,1,9,0,3,0
414,3,2,7,4,2,1,4,0,3,0
415,1,0,9,4,2,0,9,0,0,0
416,4,0,6,4,3,1,9,0,0,0
417,2,2,7,4,2,1,4,0,0,0
418,1,6,13,4,3,1,3,0,3,0
419,0,3,12,4,3,1,4,3,0,0
420,4,1,4,4,3,1,3,0,3,0
421,4,0,2,4,3,0,3,0,0,0
422,3,4,6,4,3,1,4,4,3,0
423,4,2,13,2,2,1,3,4,3,0
424,4,3,21,4,3,1,4,1,3,0
425,3,6,4,4,3,1,0,4,0,0
426,1,0,22,4,2,1,9,0,0,0
427,2,6,10,0,3,1,9,0,3,0
428,1,3,14,4,2,1,3,1,3,0
429,1,3,1,4,3,1,3,4,0,0
430,3,6,3,4,2,1,4,0,3,0
431,1,3,2,4,3,1,0,0,3,0
432,4,3,7,4,3,1,1,0,3,0
433,2,4,5,4,3,0,3,0,3,0
434,4,3,1,4,3,1,3,2,0,0
435,1,0,4,4,3,1,9,0,0,0
436,2,6,5,4,3,0,3,4,3,0
437,2,0,10,4,2,1,0,1,0,0
438,1,3,23,4,2,1,3,3,3,0
439,1,5,3,4,2,1,4,0,2,0
440,3,2,23,4,3,1,0,0,0,0
441,2,1,18,4,2,1,4,0,0,0
442,2,1,21,4,3,1,3,1,3,0
443,1,6,10,4,3,0,1,0,0,0
444,0,5,4,4,3,1,3,0,0,0
445,4,4,1,4,3,1,4,5,3,0
446,4,1,19,4,2,1,3,0,3,0
447,3,5,5,4,3,1,1,1,0,0
448,0,4,2,4,3,1,0,0,0,0
449,4,4,5,4,2,1,3,3,0,0
450,2,1,6,3,3,1,3,4,0,0
451,0,0,5,4,2,1,3,0,0,0
452,3,2,4,4,3,1,9,1,3,0
453,2,6,22,4,2,1,9,0,0,0
454,2,3,10,4,3,0,3,0,3,1
455,0,1,8,2,3,1,7,0,0,0
456,2,3,4,4,3,1,3,4,3,0
457,1,6,5,4,3,1,3,0,0,0
458,1,1,22,4,3,1,3,2,0,0
459,1,3,23,4,3,0,3,5,3,0
460,0,0,2,4,3,0,3,0,0,0
461,0,6,21,0,2,0,3,3,3,0
462,2,3,23,4,3,0,7,5,3,1
463,3,4,21,4,3,1,3,0,0,0
464,4,4,1,4,3,1,4,4,3,0
465,0,3,7,4,3,1,3,4,0,0
466,3,2,9,4,3,0,3,0,3,0
467,2,5,8,0,2,1,9,0,0,0
468,1,3,3,4,3,1,3,5,3,0
469,0,3,23,4,3,1,3,0,0,0
470,2,3,6,4,3,1,3,5,0,0
471,0,5,8,4,2,1,3,3,3,0
472,4,2,6,4,2,1,9,0,3,0
473,4,5,21,4,3,0,3,0,2,0
474,3,2,22,4,2,0,3,2,3,0
475,0,1,7,4,3,0,3,0,3,0
476,4,5,6,4,3,1,6,0,0,0
477,3,3,14,4,3,1,3,0,3,0
478,4,4,21,2,2,1,3,0,3,0
479,4,3,5,4,3,1,3,4,2,0
480,4,2,8,4,3,1,9,2,3,0
481,2,1,6,4,2,1,4,0,0,0
482,4,3,9,4,3,1,0,0,3,0
483,4,4,19,1,3,1,3,0,0,0
484,1,5,6,0,3,1,3,0,2,1
485,1,6,8,4,3,0,9,3,0,0
486,4,0,23,4,2,1,3,0,3,0
487,4,5,2,4,3,1,4,4,3,0
488,0,2,7,4,3,0,3,0,3,0
489,1,5,3,4,2,0,4,0,3,0
490,1,4,23,4,3,1,3,0,0,0
491,0,2,5,4,3,1,3,0,0,0
492,2,5,5,0,3,1,9,0,0,0
493,4,1,1,2,1,1,3,0,3,1
494,4,5,3,4,3,1,9,0,0,0
495,0,0,5,4,3,1,0,4,0,0
496,4,3,20,1,3,0,3,3,3,0
497,4,4,10,0,3,1,3,1,3,0
498,0,4,1,4,3,1,3,3,3,0
499,1,6,0,4,3,1,3,4,3,0
500,1,1,20,4,2,1,7,0,0,0
501,0,4,1,4,2,1,9,2,3,0
502,3,0,22,0,2,1,0,0,3,0
503,4,0,22,4,3,1,3,5,3,1
504,1,2,3,1,3,1,3,0,0,0
505,0,2,6,1,3,1,3,0,0,0
506,4,0,2,4,2,1,3,0,0,0
507,1,3,20,4,3,0,4,0,3,0
508,2,5,2,1,3,1,7,1,3,1
509,2,6,21,4,3,0,3,2,3,0
510,2,1,2,4,2,1,3,4,3,0
511,0,1,4,4,3,1,3,3,0,0
512,0,6,7,4,2,1,3,0,0,0
513,4,3,4,0,3,1,4,0,0,0
514,2,1,22,4,2,0,9,0,2,0
515,1,3,19,4,3,1,3,0,3,0
516,1,4,5,4,2,1,8,0,0,0
517,1,3,10,4,2,1,4,0,3,0
518,0,5,12,4,3,1,3,0,2,0
519,2,6,9,4,2,1,9,0,0,0
520,1,0,22,1,2,1,3,1,0,0
521,4,2,1,4,3,0,3,0,3,0
522,3,3,7,0,3,0,7,5,3,1
523,2,1,20,4,2,1,3,0,3,0
524,0,3,3,4,3,1,3,3,0,0
525,0,5,18,4,3,1,3,5,3,0
526,4,3,6,4,3,1,7,0,0,0
527,0,1,5,4,2,1,9,3,3,0
528,3,2,21,2,3,1,9,0,3,0
529,3,1,18,0,3,0,3,0,3,0
530,0,2,1,4,3,1,7,0,3,0
531,4,5,23,4,2,1,9,2,0,0
532,1,2,6,4,3,0,9,0,3,0
533,3,1,21,4,2,1,9,0,3,0
534,0,4,3,4,3,1,2,0,0,0
535,1,5,18,4,3,0,3,2,0,0
536,0,5,23,4,2,1,4,5,3,1
537,0,6,1,4,2,1,3,0,3,0
538,2,6,6,4,3,1,3,4,0,0
539,3,5,21,4,3,0,3,4,0,0
540,2,5,8,4,3,1,4,0,3,0
541,0,4,7,4,3,0,9,4,3,0
542,1,3,19,4,2,0,9,0,0,0
543,4,5,22,0,2,1,5,0,3,0
544,3,5,1,4,3,1,3,1,0,0
545,1,0,20,1,2,0,3,0,0,0
546,3,6,21,4,2,1,9,0,3,0
547,0,2,7,4,3,1,3,0,3,0
548,0,1,9,4,3,0,9,0,3,0
549,0,0,15,4,2,1,3,4,0,0
550,1,1,3,4,3,1,3,1,3,0
551,0,6,1,4,2,0,9,0,3,0
552,0,5,21,2,3,0,3,0,0,0
553,3,2,4,4,3,1,3,0,1,0
554,2,1,4,4,2,0,9,4,3,0
555,1,0,23,4,2,0,9,0,3,0
556,3,5,20,4,2,0,9,0,0,0
557,0,6,23,4,3,1,9,0,0,0
558,3,5,5,4,3,0,9,5,3,0
559,4,2,9,2,3,1,4,4,0,0
560,4,1,20,4,2,0,1,0,0,0
561,1,6,2,4,3,1,9,0,3,0
562,2,4,2,4,3,1,3,5,0,0
563,1,3,8,4,3,0,3,0,0,0
564,1,4,12,0,3,1,3,3,0,0
565,3,1,8,4,2,0,7,5,3,0
566,3,6,15,4,2,1,1,0,0,0
567,2,3,15,0,3,0,0,0,0,0
568,0,3,21,4,0,1,1,3,0,0
569,2,3,1,4,2,0,3,1,3,1
570,1,3,1,4,3,1,3,0,0,0
571,0,1,23,4,2,1,3,0,0,1
572,0,6,3,1,3,1,3,0,3,0
573,1,0,5,4,3,0,3,0,3,0
574,4,4,3,4,3,1,9,0,0,0
575,4,2,4,4,3,0,9,0,3,0
576,1,3,3,4,3,0,3,0,0,0
577,2,2,8,4,2,1,0,0,3,0
578,2,0,1,4,3,1,0,4,0,0
579,3,1,21,4,2,1,3,0,3,0
580,3,3,13,4,3,1,3,0,3,0
581,3,5,2,4,3,0,9,0,3,0
582,2,1,23,4,3,1,9,0,3,0
583,0,3,10,4,3,1,3,0,3,0
584,3,6,21,4,3,1,9,3,0,0
585,4,4,4,4,3,1,3,0,3,0
586,4,4,19,4,2,1,3,0,0,0
587,3,1,9,4,3,1,9,5,3,0
588,3,4,13,4,3,1,1,4,2,0
589,1,6,3,4,3,1,3,0,0,0
590,0,0,1,0,3,0,9,0,0,0
591,1,5,7,4,2,1,3,4,3,0
592,0,3,1,4,3,1,1,0,3,0
593,0,2,21,4,3,1,3,3,3,0
594,3,3,6,4,3,0,3,1,3,0
595,0,3,20,4,3,1,3,0,3,0
596,0,4,9,4,2,1,3,4,3,0
597,3,6,6,4,3,0,4,4,0,0
598,2,0,3,4,2,0,9,0,2,0
599,2,0,23,4,3,1,3,0,3,0
600,1,0,1,4,1,1,3,0,3,0
601,0,0,4,4,3,1,9,0,0,0
602,2,3,3,4,3,1,3,5,3,0
603,2,2,10,0,3,1,9,0,0,0
604,1,1,2,4,3,1,4,5,3,0
605,0,3,18,0,2,1,0,4,0,0
606,3,5,2,4,3,1,3,5,0,0
607,4,5,6,2,2,1,3,0,0,0
608,1,4,21,4,3,1,9,5,3,0
609,4,2,20,4,0,1,3,0,0,0
610,4,3,2,4,3,1,3,0,0,0
611,2,4,7,2,3,1,3,5,0,0
612,4,3,6,0,3,1,6,0,0,0
613,0,3,9,4,3,1,1,0,3,0
614,1,1,21,4,2,1,5,3,0,0
615,2,1,12,0,3,1,3,3,3,0
616,3,4,10,4,3,0,3,0,3,0
617,4,0,1,4,2,0,9,2,0,0
618,1,6,2,4,2,1,1,1,3,0
619,1,0,22,4,3,0,3,0,0,0
620,0,3,1,4,3,1,4,5,3,0
621,0,2,10,4,3,1,3,0,3,0
622,1,2,2,4,3,1,3,1,3,0
623,2,3,5,4,3,1,9,0,0,0
624,1,0,23,1,2,1,9,0,2,0
625,1,5,22,4,2,1,0,0,0,0
626,0,2,17,4,3,1,3,0,3,0
627,2,0,6,0,3,1,3,1,3,0
628,2,0,22,4,3,1,3,5,0,1
629,1,0,6,4,3,1,3,0,1,0
